,player_name,team_abbreviation,age,player_height_cm,player_weight_lbs,college,country,draft_year,draft_round,draft_number,games_played,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct,season,season_categorical,season_period
11765,Gary Trent Jr.,TOR,23.0,195.58,209.0,Duke,USA,2018.0,2.0,37.0,70,18.3,2.7,2.0,3.3,0.01,0.07,0.212,0.546,0.085,2021-22,2021-22,2021
11766,Gary Payton II,GSW,29.0,190.5,195.0,Oregon State,USA,,,,71,7.1,3.5,0.9,8.3,0.0579999999999999,0.132,0.14,0.679,0.076,2021-22,2021-22,2021
11767,Gary Harris,ORL,27.0,193.04,210.0,Michigan State,USA,2014.0,1.0,19.0,61,11.1,2.0,1.8,-5.9,0.02,0.048,0.16,0.5710000000000001,0.094,2021-22,2021-22,2021
11768,Gary Clark,NOP,27.0,198.12,225.0,Cincinnati,USA,,,,38,2.7,2.4,0.5,-2.1,0.057,0.174,0.11,0.547,0.067,2021-22,2021-22,2021
11769,Georges Niang,PHI,29.0,200.66,230.0,Iowa State,USA,2016.0,2.0,50.0,76,9.2,2.7,1.3,1.9,0.0139999999999999,0.0969999999999999,0.16,0.594,0.09,2021-22,2021-22,2021
11770,Eric Paschall,UTA,25.0,198.12,255.0,Villanova,USA,2019.0,2.0,41.0,58,5.8,1.8,0.6,-2.3,0.042,0.1,0.174,0.612,0.074,2021-22,2021-22,2021
11771,Eric Gordon,HOU,33.0,190.5,215.0,Indiana,USA,2008.0,1.0,7.0,57,13.4,2.0,2.7,-5.1,0.009,0.0559999999999999,0.182,0.614,0.1369999999999999,2021-22,2021-22,2021
11772,Eric Bledsoe,POR,32.0,185.42,214.0,Kentucky,USA,2010.0,1.0,18.0,54,9.9,3.4,4.2,-1.2,0.02,0.105,0.198,0.514,0.251,2021-22,2021-22,2021
11773,Dillon Brooks,MEM,26.0,200.66,225.0,Oregon,Canada,2017.0,2.0,45.0,32,18.4,3.2,2.8,11.0,0.03,0.08,0.283,0.515,0.147,2021-22,2021-22,2021
11774,Didi Louzada,POR,22.0,195.58,188.0,,Brazil,2019.0,2.0,35.0,9,3.9,1.9,0.6,-29.1,0.034,0.096,0.13,0.517,0.07,2021-22,2021-22,2021
11775,Dewayne Dedmon,MIA,32.0,213.36,245.0,Southern California,USA,,,,67,6.3,5.8,0.7,3.5,0.1,0.251,0.1639999999999999,0.632,0.069,2021-22,2021-22,2021
11776,Devonte' Graham,NOP,27.0,185.42,195.0,Kansas,USA,2018.0,2.0,34.0,76,11.9,2.3,4.2,0.3,0.017,0.064,0.191,0.514,0.21,2021-22,2021-22,2021
11777,Devontae Cacok,SAS,25.0,200.66,240.0,North Carolina-Wilmington,USA,,,,15,3.1,2.8,0.4,-1.6,0.0579999999999999,0.2789999999999999,0.122,0.675,0.073,2021-22,2021-22,2021
11778,Devon Dotson,CHI,22.0,185.42,185.0,Kansas,USA,,,,11,2.6,0.8,1.4,-2.4,0.011,0.105,0.156,0.5379999999999999,0.283,2021-22,2021-22,2021
